Virtuális,sport,,,,,,,,,,,,,,
SORSZÁM,"ESEMÉNY,",IDŐPONT,HAZAI,DÖNTETLEN,VENDÉG,PIACOK,,,,,,,,,
901701-1X2,,,,,,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
901701,H,Chelsea,"1,30",,,,,,,,,,,,
901701,D,Döntetlen,"4,40",,,,,,,,,,,,
901701,V,Aston,Oroszlán,"8,25",,,,,,,,,,,
901706-Kétesély,,,,,,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
901706,H,Chelsea,vagy,Döntetlen,"1,06",,,,,,,,,,
FOGADÁS,ÉLŐ,EREDMÉNYEK,LOTTÓZÓK,,V-SPORT,RADAR,,SZELVÉNY,0,,,,,,
Virtuális,Premier,Liga,Virtuális,Spanyol,Liga,,,,,,,,,,
AKTUÁLIS,FORDULÓ,KÖVETKEZŐ,FORDULÓ,,,,,,,,,,,,
EREDMÉNYEK,,,,,,,,,,,,,,,
901701,,,,,,,,,,,,,,,
Virtuális,"Labdarúgás,",Virtuális,Premier,Liga,,,,,,,,,,,
219337,,,,,,,,,,,,,,,
Chelsea-Aston,Oroszlán,,,,,,,,,,,,,,
11.03.,"20:371,30",,,,,,,,,,,,,,
"H4,40",,,,,,,,,,,,,,,
"D8,25",,,,,,,,,,,,,,,
V29,ÚJSORSZÁM,"ESEMÉNY,",IDŐPONT,HAZAI,DÖNTETLEN,VENDÉG,PIACOK,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
901706,D,Chelsea,vagy,Aston,Oroszlán,"1,14",,,,,,,,,
901706,V,Döntetlen,vagy,Aston,Oroszlán,"2,50",,,,,,,,,
901708-Döntetlennél,tét,visszajár,,,,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
901708,H,Chelsea,"1,08",,,,,,,,,,,,
901708,V,Aston,Oroszlán,"5,50",,,,,,,,,,,
901709-Melyik,csapat,szerzi,az,1.,gólt?,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
901709,H,Chelsea,"1,25",,,,,,,,,,,,
901709,D,Nem,lesz,gól,"9,25",,,,,,,,,,
901709,V,Aston,Oroszlán,"4,30",,,,,,,,,,,
901711-Hendikep,0:2,,,,,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
901711,H,Chelsea,"3,25",,,,,,,,,,,,
901711,D,Döntetlen,"3,95SORSZÁM","ESEMÉNY,",IDŐPONT,HAZAI,DÖNTETLEN,VENDÉG,PIACOK,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
901711,V,Aston,Oroszlán,"1,70",,,,,,,,,,,
901710-Hendikep,0:1,,,,,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
901710,H,Chelsea,"1,90",,,,,,,,,,,,
901710,D,Döntetlen,"3,40",,,,,,,,,,,,
901710,V,Aston,Oroszlán,"3,00",,,,,,,,,,,
901703-Gólszám,"1,5",,,,,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
901703,H,"Kevesebb,",mint,"1,5","2,85",,,,,,,,,,
901703,V,"Több,",mint,"1,5","1,30",,,,,,,,,,
901704-Gólszám,"2,5",,,,,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
901704,H,"Kevesebb,",mint,"2,5","1,65",,,,,,,,,,
901704,V,"Több,",mint,"2,5","2,00SORSZÁM","ESEMÉNY,",IDŐPONT,HAZAI,DÖNTETLEN,VENDÉG,PIACOK,,,,
901705-Gólszám,"3,5",,,,,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
901705,H,"Kevesebb,",mint,"3,5","1,22",,,,,,,,,,
901705,V,"Több,",mint,"3,5","3,50",,,,,,,,,,
901716-Gólszám,(pontosan),,,,,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
901716,01,0,"10,50",,,,,,,,,,,,
901716,02,1,"3,95",,,,,,,,,,,,
901716,03,2,"3,25",,,,,,,,,,,,
901716,04,3,"3,80",,,,,,,,,,,,
901716,05,4,"6,75",,,,,,,,,,,,
901716,06,5,"12,50",,,,,,,,,,,,
901716,07,6+,"19,00",,,,,,,,,,,,
901730-Gólok,száma:,páros,vagy,páratlan,,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
901730,H,Páratlan,"1,80SORSZÁM","ESEMÉNY,",IDŐPONT,HAZAI,DÖNTETLEN,VENDÉG,PIACOK,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
901730,V,Páros,"1,80",,,,,,,,,,,,
901732-Hazai,csapat,gólszám,"0,5",,,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
901732,H,"Kevesebb,",mint,"0,5","5,00",,,,,,,,,,
901732,V,"Több,",mint,"0,5","1,10",,,,,,,,,,
901733-Hazai,csapat,gólszám,"1,5",,,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
901733,H,"Kevesebb,",mint,"1,5","2,05",,,,,,,,,,
901733,V,"Több,",mint,"1,5","1,60",,,,,,,,,,
901734-Hazai,csapat,gólszám,"2,5",,,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
901734,H,"Kevesebb,",mint,"2,5","1,35",,,,,,,,,,
901734,V,"Több,",mint,"2,5","2,65",,,,,,,,,,
901717-Hazai,csapat,góljainak,a,számaSORSZÁM,"ESEMÉNY,",IDŐPONT,HAZAI,DÖNTETLEN,VENDÉG,PIACOK,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
901717,01,0,"6,50",,,,,,,,,,,,
901717,02,1,"3,10",,,,,,,,,,,,
901717,03,2,"3,60",,,,,,,,,,,,
901717,04,3,"4,80",,,,,,,,,,,,
901717,05,4+,"6,50",,,,,,,,,,,,
901736-Vendégcsapat,gólszám,"0,5",,,,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
901736,H,"Kevesebb,",mint,"0,5","1,50",,,,,,,,,,
901736,V,"Több,",mint,"0,5","2,25",,,,,,,,,,
901735-Vendégcsapat,gólszám,"1,5",,,,,,,,,,,,,
