Virtuális,sport,,,,,,,,,,,,,,
SORSZÁM,"ESEMÉNY,",IDŐPONT,HAZAI,DÖNTETLEN,VENDÉG,PIACOK,,,,,,,,,
FOGADÁS,ÉLŐ,EREDMÉNYEK,LOTTÓZÓK,,V-SPORT,RADAR,,SZELVÉNY,0,,,,,,
Virtuális,Premier,Liga,Virtuális,Spanyol,Liga,,,,,,,,,,
AKTUÁLIS,FORDULÓ,KÖVETKEZŐ,FORDULÓ,,,,,,,,,,,,
EREDMÉNYEK,,,,,,,,,,,,,,,
901701,,,,,,,,,,,,,,,
Virtuális,"Labdarúgás,",Virtuális,Premier,Liga,,,,,,,,,,,
219337,,,,,,,,,,,,,,,
Chelsea-Aston,Oroszlán,,,,,,,,,,,,,,
11.03.,"20:371,30",,,,,,,,,,,,,,
"H4,40",,,,,,,,,,,,,,,
"D8,25",,,,,,,,,,,,,,,
V29,,,,,,,,,,,,,,,
901601,,,,,,,,,,,,,,,
Virtuális,"Labdarúgás,",Virtuális,Premier,Liga,,,,,,,,,,,
219337,,,,,,,,,,,,,,,
Brighton-Tottenham,,,,,,,,,,,,,,,
11.03.,"20:373,80",,,,,,,,,,,,,,
"H3,80",,,,,,,,,,,,,,,
"D1,70",,,,,,,,,,,,,,,
V30,,,,,,,,,,,,,,,
901901,,,,,,,,,,,,,,,
Virtuális,"Labdarúgás,",Virtuális,Premier,Liga,,,,,,,,,,,
219337,,,,,,,,,,,,,,,
Crystal,Palace-Newcastle,,,,,,,,,,,,,,
11.03.,"20:372,80",,,,,,,,,,,,,,
"H3,00",,,,,,,,,,,,,,,
"D2,40",,,,,,,,,,,,,,,
V30,,,,,,,,,,,,,,,
901801,,,,,,,,,,,,,,,
Virtuális,"Labdarúgás,",Virtuális,Premier,Liga,,,,,,,,,,,
219337,,,,,,,,,,,,,,,
West,Ham-Brentford,,,,,,,,,,,,,,
11.03.,"20:372,80",,,,,,,,,,,,,,
"H3,05",,,,,,,,,,,,,,,
"D2,35",,,,,,,,,,,,,,,
V31,,,,,,,,,,,,,,,
902101,,,,,,,,,,,,,,,
Virtuális,"Labdarúgás,",Virtuális,Premier,Liga,,,,,,,,,,,
219337,,,,,,,,,,,,,,,
London,Ágyúk-Manchester,Kék,,,,,,,,,,,,,
11.03.,"20:372,35",,,,,,,,,,,,,,
"H3,70",,,,,,,,,,,,,,,
"D2,45",,,,,,,,,,,,,,,
V32,ÚJSORSZÁM,"ESEMÉNY,",IDŐPONT,HAZAI,DÖNTETLEN,VENDÉG,PIACOK,,,,,,,,
902101-1X2,,,,,,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
902101,H,London,Ágyúk,"2,35",,,,,,,,,,,
902101,D,Döntetlen,"3,70",,,,,,,,,,,,
902101,V,Manchester,Kék,"2,45",,,,,,,,,,,
902106-Kétesély,,,,,,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
902106,H,London,Ágyúk,vagy,Döntetlen,"1,40",,,,,,,,,
902106,D,London,Ágyúk,vagy,Manchester,Kék,"1,22",,,,,,,,
902106,V,Döntetlen,vagy,Manchester,Kék,"1,45",,,,,,,,,
902108-Döntetlennél,tét,visszajár,,,,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
902108,H,London,Ágyúk,"1,75",,,,,,,,,,,
902108,V,Manchester,Kék,"1,85",,,,,,,,,,,
902109-Melyik,csapat,szerzi,az,1.,gólt?SORSZÁM,"ESEMÉNY,",IDŐPONT,HAZAI,DÖNTETLEN,VENDÉG,PIACOK,,,,
