NYITÓLAP/LABDARÚGÁS/VIRTUÁLIS,LABDARÚGÁS,,,,,,,,,,,,,,,,,,,
Virtuális,Labdarúgás,Liga,Mód,Retail,19337,,,,,,,,,,,,,,,
Áttekint,H2H,Meccsek,Tabellák,Csapatok,Archív,,,,,,,,,,,,,,,
Poz.,Csapat,M,G,D,V,LG,KG,Gólk.,PTK,,,,,,,,,,,
1,7,5,2,0,16,2,14,17,,,,,,,,,,,,
2,7,5,1,1,17,7,10,16,,,,,,,,,,,,
3,7,4,3,0,10,3,7,15,,,,,,,,,,,,
4,7,4,2,1,13,9,4,14,,,,,,,,,,,,
5,7,4,1,2,13,8,5,13,,,,,,,,,,,,
6,7,3,2,2,9,7,2,11,,,,,,,,,,,,
7,7,2,4,1,9,7,2,10,,,,,,,,,,,,
8,7,2,4,1,6,7,-1,10,,,,,,,,,,,,
9,7,3,1,3,8,11,-3,10,,,,,,,,,,,,
10,7,3,0,4,14,14,0,9,,,,,,,,,,,,
11,7,2,1,4,9,12,-3,7,,,,,,,,,,,,
12,7,2,1,4,5,10,-5,7,,,,,,,,,,,,
13,7,1,2,4,4,10,-6,5,,,,,,,,,,,,
14,7,1,1,5,5,12,-7,4Liga,Táblázat,,,,,,,,,,,
Összes,mérkőzés,Hazai,mérkőzés,Idegenbeli,mérkőzés,Teljes,táblázat,Forduló,7,,,,,,,,,,,
Játékidő,eredménye,1.félidő,2.,félidő,,,,,,,,,,,,,,,,
Liverpool,,,,,,,,,,,,,,,,,,,,
Manchester,Kék,,,,,,,,,,,,,,,,,,,
Tottenham,,,,,,,,,,,,,,,,,,,,
Everton,,,,,,,,,,,,,,,,,,,,
Vörös,Ördögök,,,,,,,,,,,,,,,,,,,
Brighton,,,,,,,,,,,,,,,,,,,,
London,Ágyúk,,,,,,,,,,,,,,,,,,,
Chelsea,,,,,,,,,,,,,,,,,,,,
Fulham,,,,,,,,,,,,,,,,,,,,
Wolverhampton,,,,,,,,,,,,,,,,,,,,
Aston,Oroszlán,,,,,,,,,,,,,,,,,,,
Brentford,,,,,,,,,,,,,,,,,,,,
Newcastle,,,,,,,,,,,,,,,,,,,,
Crystal,PalacePoz.,Csapat,M,G,D,V,LG,KG,Gólk.,PTK,,,,,,,,,,
15,7,1,1,5,3,11,-8,4,,,,,,,,,,,,
16,7,0,2,5,2,13,-11,2,,,,,,,,,,,,
West,Ham,,,,,,,,,,,,,,,,,,,
Nottingham,,,,,,,,,,,,,,,,,,,,
-,pontok,,,,,,,,,,,,,,,,,,,
-,gólkül.,,,,,,,,,,,,,,,,,,,
-,lőtt,gólok,,,,,,,,,,,,,,,,,,
-,h2h,lőtt,gólok,,,,,,,,,,,,,,,,,
-,idegenben,lőtt,gólok,,,,,,,,,,,,,,,,,
-,idegenben,lőtt,gólok,,,,,,,,,,,,,,,,,
-,md5,"(csapatid,",lőtt,gólok),,,,,,,,,,,,,,,,
Forma,,,,,,,,,,,,,,,,,,,,
Játékidő,eredmé…,1.félidőÖsszes,mérkőzés,Hazai,mérkőzés,Idegenbeli,mérkőzésForduló7,,,,,,,,,,,,,
